2026-04-14 12:23:45.301 | DEBUG    | models.squat:update:34 - Rep 1 | Diff: 0.0348 | Threshold: 0.0334
2026-04-14 12:23:45.392 | DEBUG    | models.squat:update:34 - Rep 1 | Diff: 0.0355 | Threshold: 0.0329
2026-04-14 12:23:45.481 | DEBUG    | models.squat:update:34 - Rep 1 | Diff: 0.0364 | Threshold: 0.0327
2026-04-14 12:23:45.572 | DEBUG    | models.squat:update:34 - Rep 1 | Diff: 0.0393 | Threshold: 0.0326
2026-04-14 12:23:45.660 | DEBUG    | models.squat:update:34 - Rep 1 | Diff: 0.0406 | Threshold: 0.0327
2026-04-14 12:23:45.751 | DEBUG    | models.squat:update:34 - Rep 1 | Diff: 0.0447 | Threshold: 0.0324
2026-04-14 12:23:45.842 | DEBUG    | models.squat:update:34 - Rep 1 | Diff: 0.0441 | Threshold: 0.0322
2026-04-14 12:23:45.932 | DEBUG    | models.squat:update:34 - Rep 1 | Diff: 0.0460 | Threshold: 0.0320
2026-04-14 12:23:46.022 | DEBUG    | models.squat:update:34 - Rep 1 | Diff: 0.0458 | Threshold: 0.0320
2026-04-14 12:23:46.114 | DEBUG    | models.squat:update:34 - Rep 1 | Diff: 0.0482 | Threshold: 0.0319
2026-04-14 12:23:46.205 | DEBUG    | models.squat:update:34 - Rep 1 | Diff: 0.0489 | Threshold: 0.0316
2026-04-14 12:23:46.296 | DEBUG    | models.squat:update:34 - Rep 1 | Diff: 0.0516 | Threshold: 0.0315
2026-04-14 12:23:46.387 | DEBUG    | models.squat:update:34 - Rep 1 | Diff: 0.0530 | Threshold: 0.0315
2026-04-14 12:23:46.477 | DEBUG    | models.squat:update:34 - Rep 1 | Diff: 0.0550 | Threshold: 0.0315
2026-04-14 12:23:46.568 | DEBUG    | models.squat:update:34 - Rep 1 | Diff: 0.0574 | Threshold: 0.0315
2026-04-14 12:23:46.659 | DEBUG    | models.squat:update:34 - Rep 1 | Diff: 0.0603 | Threshold: 0.0315
2026-04-14 12:23:46.750 | DEBUG    | models.squat:update:34 - Rep 1 | Diff: 0.0610 | Threshold: 0.0316
2026-04-14 12:23:46.840 | DEBUG    | models.squat:update:34 - Rep 1 | Diff: 0.0601 | Threshold: 0.0316
2026-04-14 12:23:46.929 | DEBUG    | models.squat:update:34 - Rep 1 | Diff: 0.0602 | Threshold: 0.0316
2026-04-14 12:23:47.020 | DEBUG    | models.squat:update:34 - Rep 1 | Diff: 0.0605 | Threshold: 0.0316
2026-04-14 12:23:47.111 | DEBUG    | models.squat:update:34 - Rep 1 | Diff: 0.0603 | Threshold: 0.0316
2026-04-14 12:23:47.202 | DEBUG    | models.squat:update:34 - Rep 1 | Diff: 0.0602 | Threshold: 0.0316
2026-04-14 12:23:47.293 | DEBUG    | models.squat:update:34 - Rep 1 | Diff: 0.0600 | Threshold: 0.0316
2026-04-14 12:23:47.383 | DEBUG    | models.squat:update:34 - Rep 1 | Diff: 0.0592 | Threshold: 0.0316
2026-04-14 12:23:47.474 | DEBUG    | models.squat:update:34 - Rep 1 | Diff: 0.0590 | Threshold: 0.0316
2026-04-14 12:23:47.565 | DEBUG    | models.squat:update:34 - Rep 1 | Diff: 0.0585 | Threshold: 0.0316
2026-04-14 12:23:47.656 | DEBUG    | models.squat:update:34 - Rep 1 | Diff: 0.0578 | Threshold: 0.0315
2026-04-14 12:23:47.748 | DEBUG    | models.squat:update:34 - Rep 1 | Diff: 0.0575 | Threshold: 0.0315
2026-04-14 12:23:47.842 | DEBUG    | models.squat:update:34 - Rep 1 | Diff: 0.0575 | Threshold: 0.0315
2026-04-14 12:23:47.932 | DEBUG    | models.squat:update:34 - Rep 1 | Diff: 0.0571 | Threshold: 0.0315
2026-04-14 12:23:48.022 | DEBUG    | models.squat:update:34 - Rep 1 | Diff: 0.0565 | Threshold: 0.0315
2026-04-14 12:23:48.114 | DEBUG    | models.squat:update:34 - Rep 1 | Diff: 0.0565 | Threshold: 0.0315
